Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9C829	Q9LPZ1	NUP50A	MORF9	F19K6.4	T23J18.10	LOCUS:2018204	LOCUS:2200131	21189294:0004:HT
Q9C829	Q9LTX9	NUP50A	HSP70-7	F19K6.4	K9P8.5	LOCUS:2018204	LOCUS:2158834	21189294:0004:HT
Q9C829	Q9LW88	NUP50A	NUP50B	F19K6.4	MSL1.1	LOCUS:2018204	LOCUS:2093372	21189294:0004:HT
Q9C829	Q9LY66	NUP50A	RPL1	F19K6.4	MAA21_120	LOCUS:2018204	LOCUS:2087388	21189294:0004:HT
Q9C829	Q9LZ61	NUP50A	T32M21_240	F19K6.4	T1E3.5	LOCUS:2018204	LOCUS:2184427	21189294:0004:HT
Q9C829	Q9LZF4	NUP50A	F12E4_90	F19K6.4		LOCUS:2018204		21189294:0004:HT
Q9C829	Q9LZR5	NUP50A	HDT3	F19K6.4	F17C15_160|MED24.1	LOCUS:2018204	LOCUS:2144623	21189294:0004:HT
Q9C829	Q9MAB9	NUP50A	MUB1	F19K6.4	T4P13.27	LOCUS:2018204	LOCUS:2102172	21189294:0004:HT
Q9C829	Q9S7C0	NUP50A	HSP70-14	F19K6.4	F18B13.1|F19K16.11	LOCUS:2018204	LOCUS:2016364	21189294:0004:HT
Q9C829	Q9S7J8	NUP50A	RAN1	F19K6.4	K23L20.14|T19K24.18	LOCUS:2018204	LOCUS:2156354	21189294:0004:HT
Q9C829	Q9STW6	NUP50A	HSP70-6	F19K6.4	T22A6.110	LOCUS:2018204	LOCUS:2135897	21189294:0004:HT
Q9C829	Q9SZV3	NUP50A	MITHPPK/DHPS	F19K6.4	F6G3.30	LOCUS:2018204	LOCUS:2126465	21189294:0004:HT
Q9C865	Q9SUJ1	SH3P1	SYP43	T8E3.10	F18C1.2	LOCUS:2206174	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
Q9C8F7	Q9SUJ1	RPL30A	SYP43	F15C21.6	F18C1.2	LOCUS:2013205	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
Q9C8Y9	Q9FFK1	BGLU22	SYP31	T27F4.3	MJJ3.17	LOCUS:2201502	LOCUS:2166419	24556609:0004:HT|24556609:0007:HT
Q9C8Y9	Q9LK09	BGLU22	SYP32	T27F4.3	K7M2.13	LOCUS:2201502		24556609:0004:HT|24556609:0007:HT
Q9C901	Q9SUJ1	Q9C901	SYP43	F5E6.6|F5E6_6	F18C1.2	LOCUS:2084324	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
Q9C9H5	Q9FNY2	CEL3	DPB	F26A9.24	F12E4.160	LOCUS:2825314	LOCUS:1005716177	20706207:0004:HT|20706207:0676:HT
Q9C9H5	Q9LDM4	CEL3	CYCB2-3	F26A9.24	F2D10.10|F5M15.6	LOCUS:2825314	LOCUS:2030482	20706207:0676:HT
Q9C9H5	Q9LNX4	CEL3	SMR5	F26A9.24	F22G5.11	LOCUS:2825314	LOCUS:2024957	20706207:0676:HT
Q9C9H5	Q9LRY0	CEL3	KRP5	F26A9.24	K7P8.10	LOCUS:2825314	LOCUS:2087248	20706207:0676:HT
Q9C9H5	Q9SJJ5	CEL3	CKS2	F26A9.24	T1E2.11	LOCUS:2825314	LOCUS:2057825	20706207:0676:HT
Q9C9M7	Q9FXA2	CDKD-2	PAB8	F4N21.12	F14J22.3	LOCUS:2033349	LOCUS:2012161	20706207:0004:HT|20706207:0676:HT
Q9CAC1	Q9SJR5	CEL1	GRF3	F5A18.11	F1O11.3	LOCUS:2033600	LOCUS:2044873	21094157:0004:HT
Q9CAF4	Q9FJD4	NUP1	KPNB1	F13M14.6|F18K10.27	MNC6.1	LOCUS:2075785	LOCUS:2168586	21189294:0004:HT
Q9CAF4	Q9FJP3	NUP1	RPL29	F13M14.6|F18K10.27	MQN23.16	LOCUS:2075785	LOCUS:2171835	21189294:0004:HT
Q9CAF4	Q9FLN4	NUP1	RPL27	F13M14.6|F18K10.27	MEE6.2	LOCUS:2075785	LOCUS:2162971	21189294:0004:HT
Q9CAF4	Q9FVQ1	NUP1	NUCL1	F13M14.6|F18K10.27	F27K7.6	LOCUS:2075785	LOCUS:2028451	21189294:0004:HT
Q9CAF4	Q9FWS3	NUP1	CG1	F13M14.6|F18K10.27	F1B16.12	LOCUS:2075785	LOCUS:2018452	21189294:0004:HT
Q9CAF4	Q9FY50	NUP1	RPL10	F13M14.6|F18K10.27	T6I14_40	LOCUS:2075785	LOCUS:2185051	21189294:0004:HT
Q9CAF4	Q9LDN8	NUP1	Q9LDN8	F13M14.6|F18K10.27		LOCUS:2075785	LOCUS:2087110	21189294:0004:HT
Q9CAF4	Q9LFS8	NUP1	SMC5	F13M14.6|F18K10.27	F1N13.60	LOCUS:2075785	LOCUS:2146107	21189294:0004:HT
Q9CAF4	Q9LHG9	NUP1	Q9LHG9	F13M14.6|F18K10.27	T2E22.29	LOCUS:2075785	LOCUS:2092462	21189294:0004:HT
Q9CAF4	Q9LPH9	NUP1	T3F20.5	F13M14.6|F18K10.27		LOCUS:2075785	LOCUS:1005716669	21189294:0004:HT
Q9CAF4	Q9LS76	NUP1	TPS15	F13M14.6|F18K10.27	MXO21.3	LOCUS:2075785	LOCUS:2094827	21189294:0004:HT
Q9CAF4	Q9LY66	NUP1	RPL1	F13M14.6|F18K10.27	MAA21_120	LOCUS:2075785	LOCUS:2087388	21189294:0004:HT
Q9CAF4	Q9M385	NUP1	RPL17	F13M14.6|F18K10.27	F24B22.170	LOCUS:2075785	LOCUS:2080335	21189294:0004:HT
Q9CAF4	Q9M8Y1	NUP1	Q9M8Y1	F13M14.6|F18K10.27	T6K12.13|T6K12_13	LOCUS:2075785	LOCUS:2103000	21189294:0004:HT
Q9CAF4	Q9MAP3	NUP1	RPL11	F13M14.6|F18K10.27	F9L11.15	LOCUS:2075785	LOCUS:2037970	21189294:0004:HT
Q9CAF4	Q9S9L9	NUP1	Q9S9L9	F13M14.6|F18K10.27	T24D18.26|T24D18_26	LOCUS:2075785	LOCUS:2200507	21189294:0004:HT
Q9CAF4	Q9SA52	NUP1	CSP41B	F13M14.6|F18K10.27	T31J12.6	LOCUS:2075785	LOCUS:2203028	21189294:0004:HT
Q9CAF4	Q9SGT2	NUP1	PUB58	F13M14.6|F18K10.27	T6H22.16	LOCUS:2075785		21189294:0004:HT
Q9CAF4	Q9SKB3	NUP1	PARG1	F13M14.6|F18K10.27	F20M17.9	LOCUS:2075785	LOCUS:2045243	21189294:0004:HT
Q9CAF4	Q9SKX4	NUP1	RPL3A	F13M14.6|F18K10.27	MFL8.11	LOCUS:2075785	LOCUS:2053713	21189294:0004:HT
Q9CAF4	Q9STU1	NUP1	SRO4	F13M14.6|F18K10.27	T23J7.50	LOCUS:2075785	LOCUS:2100357	21189294:0004:HT
Q9CAF4	Q9SYL9	NUP1	RPL13	F13M14.6|F18K10.27	T30F21.4	LOCUS:2075785	LOCUS:2203010	21189294:0004:HT
Q9CAG1	Q9SR12	Q9CAG1	DAN1	F12B7.13|F12B7_13	F7O18.10|F7O18_10	LOCUS:2008595	LOCUS:2084873	20706207:0676:HT
Q9CAG1	Q9SUM2	Q9CAG1	Q9SUM2	F12B7.13|F12B7_13	F9N11.70	LOCUS:2008595		20706207:0004:HT|20706207:0676:HT
Q9CAG1	Q9ZPX8	Q9CAG1	RS31A	F12B7.13|F12B7_13	F13A10.14	LOCUS:2008595	LOCUS:2039975	20706207:0004:HT|20706207:0676:HT
Q9CAG1	Q9ZV45	Q9CAG1	MSF3.12	F12B7.13|F12B7_13		LOCUS:2008595	LOCUS:2053989	20706207:0676:HT
Q9CAI7	Q9SU44	TIF4A-3	GRF8	F28P22.8	T19F6.5	LOCUS:2030285	LOCUS:2134986	21094157:0004:HT
Q9CAV0	Q9SUJ1	RPS3AA	SYP43	T9J14.21	F18C1.2	LOCUS:2114840	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
Q9CAV0	Q9ZSD4	RPS3AA	SYP121	T9J14.21	F26K24.11	LOCUS:2114840	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
Q9FDZ9	Q9LK09	RPL21E|RPL21F	SYP32	T8L23.13|F12K22.19	K7M2.13	LOCUS:2009410|LOCUS:2206480		24556609:0004:HT|24556609:0007:HT
Q9FE67	Q9SJR5	ERF9	GRF3	MLN1.14	F1O11.3	LOCUS:2167659	LOCUS:2044873	21094157:0004:HT
Q9FE67	Q9SU44	ERF9	GRF8	MLN1.14	T19F6.5	LOCUS:2167659	LOCUS:2134986	21094157:0004:HT
Q9FE83	Q9SJR5	SKIP2	GRF3	K21H1.21	F1O11.3	LOCUS:2155578	LOCUS:2044873	21094157:0004:HT
Q9FE83	Q9SU44	SKIP2	GRF8	K21H1.21	T19F6.5	LOCUS:2155578	LOCUS:2134986	21094157:0004:HT
Q9FEF8	Q9SVC2	FIB1	SYP122	K24M7.22	F22O6_220	LOCUS:2156747	LOCUS:2079894	24556609:0004:HT|24556609:0007:HT
Q9FEF8	Q9ZQZ8	FIB1	SYP123	K24M7.22	F4C21.26	LOCUS:2156747	LOCUS:2125487	24556609:0004:HT|24556609:0007:HT
Q9FEF8	Q9ZSD4	FIB1	SYP121	K24M7.22	F26K24.11	LOCUS:2156747	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
Q9FEP7	Q9SJR5	SULTR13	GRF3	F2E2.22	F1O11.3	LOCUS:2030606	LOCUS:2044873	21094157:0004:HT
Q9FF46	Q9SU44	ABCG28	GRF8	MUP24.16	T19F6.5	LOCUS:2175826	LOCUS:2134986	21094157:0004:HT
Q9FF99	Q9SA32	AAP7	CYCB3-1	MRO11.15	F3O9.13	LOCUS:2172868	LOCUS:2032870	20706207:0004:HT|20706207:0676:HT
Q9FFF9	Q9M2R1	APC1	GIG1	MOP10.10	T10K17.70	LOCUS:2169657	LOCUS:2095823	20706207:0004:HT|20706207:0676:HT
Q9FFF9	Q9M9L0	APC1	APC11	MOP10.10	F10A16.17	LOCUS:2169657		20706207:0004:HT|20706207:0676:HT
Q9FFF9	Q9STS3	APC1	APC8	MOP10.10	T24C20.30	LOCUS:2169657	LOCUS:2100439	20706207:0004:HT|20706207:0676:HT
Q9FFF9	Q9SZA4	APC1	CDC20-1	MOP10.10	F17M5.30	LOCUS:2169657	LOCUS:2119151	20706207:0004:HT|20706207:0676:HT
Q9FFF9	Q9ZPW2	APC1	APC10	MOP10.10	T30D6.20	LOCUS:2169657	LOCUS:2062106	20706207:0004:HT|20706207:0676:HT
Q9FFI2	Q9SJR5	ATG5	GRF3	MKP11_14	F1O11.3	LOCUS:2167195	LOCUS:2044873	21094157:0004:HT
Q9FFK1	Q9LHL8	SYP31	T21B14.22	MJJ3.17		LOCUS:2166419	LOCUS:2088634	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9LTQ5	SYP31	Q9LTQ5	MJJ3.17		LOCUS:2166419	LOCUS:2092344	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9LXG1	SYP31	RPS9B	MJJ3.17	F8M21_90	LOCUS:2166419	LOCUS:2150976	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9LZH9	SYP31	RPL7AB	MJJ3.17	F26K9_300	LOCUS:2166419	LOCUS:2081715	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9LZJ6	SYP31	ATL5	MJJ3.17	F26K9_120	LOCUS:2166419	LOCUS:2081740	24556609:0004:HT
Q9FFK1	Q9SCM3	SYP31	RPS2D	MJJ3.17	T8H10.90	LOCUS:2166419	LOCUS:2103539	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9SF53	SYP31	RPL35A	MJJ3.17	F11F8_7	LOCUS:2166419	LOCUS:2074974	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9SGA6	SYP31	RPS19A	MJJ3.17	F1C9.13	LOCUS:2166419	LOCUS:2078633	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9SI07	SYP31	AT2G04280.1	MJJ3.17	T23O15.9|T23O15_9	LOCUS:2166419	LOCUS:2059767	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9SRX2	SYP31	RPL19A	MJJ3.17	F22D16.23	LOCUS:2166419	LOCUS:2024695	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9SS17	SYP31	RPS24A	MJJ3.17	T9J14.13	LOCUS:2166419	LOCUS:2114830	24556609:0004:HT|24556609:0007:HT
Q9FFK1	Q9STX5	SYP31	HSP90-7	MJJ3.17	T19F6.1|T22A6.20	LOCUS:2166419	LOCUS:2135887	24556609:0007:HT
Q9FFK1	Q9SU93	SYP31	Q9SU93	MJJ3.17	T16L4.30|T16L4_30	LOCUS:2166419	LOCUS:2134348	24556609:0004:HT|24556609:0007:HT
Q9FFK6	Q9FWS3	NUP88	CG1	MJJ3.8	F1B16.12	LOCUS:2166424	LOCUS:2018452	21189294:0004:HT
Q9FG18	Q9SU44	Q9FG18	GRF8	F15M7.5|F15M7_5	T19F6.5	LOCUS:2144123	LOCUS:2134986	21094157:0004:HT
Q9FG73	Q9LK09	NOP2A	SYP32	MYN21.3	K7M2.13	LOCUS:2178393		24556609:0004:HT|24556609:0007:HT
Q9FG73	Q9ZQZ8	NOP2A	SYP123	MYN21.3	F4C21.26	LOCUS:2178393	LOCUS:2125487	24556609:0004:HT|24556609:0007:HT
Q9FG73	Q9ZSD4	NOP2A	SYP121	MYN21.3	F26K24.11	LOCUS:2178393	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
Q9FGQ7	Q9FHQ5	CYCD3-2	Q9FHQ5	K3G17.2	K12B20.11|K12B20_11	LOCUS:2157172	LOCUS:2151699	20706207:0004:HT|20706207:0676:HT
Q9FGQ7	Q9FT69	CYCD3-2	RECQSIM	K3G17.2	T1G16.10	LOCUS:2157172	LOCUS:2180255	20706207:0004:HT|20706207:0676:HT
Q9FGQ7	Q9LPC4	CYCD3-2	Q9LPC4	K3G17.2	F22M8.10	LOCUS:2157172	LOCUS:2025442	20706207:0004:HT|20706207:0676:HT
Q9FGQ7	Q9SJJ5	CYCD3-2	CKS2	K3G17.2	T1E2.11	LOCUS:2157172	LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
Q9FGR0	Q9SU44	CPSF160	GRF8	K17N15.21	T19F6.5	LOCUS:2153122	LOCUS:2134986	21094157:0004:HT
Q9FGW5	Q9LJ40	CDKG1	Q9LJ40	K9H21.7		LOCUS:2158554	LOCUS:2093126	20706207:0004:HT|20706207:0676:HT
Q9FHM4	Q9LJN8	MAP65-3	BUB3.1	K17N15.15	MMB12.5	LOCUS:2153152	LOCUS:2091211	20706207:0004:HT|20706207:0676:HT
Q9FIB6	Q9SIV2	RPN5A	RPN1A	MYH9.11	F23N11.10		LOCUS:2046016	20706207:0004:HT|20706207:0676:HT
Q9FIQ0	Q9LU93	AGD9	MAD2	MZA15.17	MPE11.15	LOCUS:2178545	LOCUS:2092125	20706207:0004:HT|20706207:0676:HT
Q9FJ62	Q9SJR5	GDPDL4	GRF3	MTE17.19	F1O11.3	LOCUS:2173977	LOCUS:2044873	21094157:0004:HT
Q9FJ62	Q9SU44	GDPDL4	GRF8	MTE17.19	T19F6.5	LOCUS:2173977	LOCUS:2134986	21094157:0004:HT
Q9FJP9	Q9SU44	SDH2-3	GRF8	MQN23.10	T19F6.5	LOCUS:504954878	LOCUS:2134986	21094157:0004:HT
Q9FJR1	Q9SJR5	PER65	GRF3	MQD22.14	F1O11.3	LOCUS:2170997	LOCUS:2044873	21094157:0004:HT
Q9FJT8	Q9SU44	HAG2	GRF8	MIK19.19	T19F6.5	LOCUS:2165091	LOCUS:2134986	21094157:0004:HT
Q9FK25	Q9SU44	OMT1	GRF8	K18G13.3	T19F6.5	LOCUS:2153423	LOCUS:2134986	21094157:0004:HT
Q9FKB5	Q9FMT4	KRP3	Q9FMT4	K24G6.15	MUA22.17		LOCUS:2174638	20706207:0004:HT|20706207:0676:HT
Q9FKB5	Q9LNE0	KRP3	BZIP69	K24G6.15	T21E18.12|T21E18_12		LOCUS:2198856	20706207:0004:HT|20706207:0676:HT
Q9FKB5	Q9SJJ5	KRP3	CKS2	K24G6.15	T1E2.11		LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
Q9FKB5	Q9ZR04	KRP3	CYCD6-1	K24G6.15	F4C21.20		LOCUS:2125522	20706207:0004:HT|20706207:0676:HT
Q9FKB5	Q9ZUG4	KRP3	Q9ZUG4	K24G6.15	T6P5.3		LOCUS:2064717	20706207:0004:HT|20706207:0676:HT
Q9FKI4	Q9SUJ1	NAA10	SYP43	MXE10.5	F18C1.2	LOCUS:2177120	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
Q9FKI4	Q9ZQZ8	NAA10	SYP123	MXE10.5	F4C21.26	LOCUS:2177120	LOCUS:2125487	24556609:0004:HT|24556609:0007:HT
Q9FL54	Q9SJR5	ATJ6	GRF3	MOJ9.8	F1O11.3	LOCUS:2169449	LOCUS:2044873	21094157:0004:HT
Q9FLF0	Q9LK09	RPS9C	SYP32	MYH19.1|MYH19.10	K7M2.13	LOCUS:2178082		24556609:0004:HT|24556609:0007:HT
Q9FLL1	Q9LU93	NOB1	MAD2	MEE6.26	MPE11.15	LOCUS:2163071	LOCUS:2092125	20706207:0004:HT|20706207:0676:HT
Q9FLX5	Q9SU44	ABCG8	GRF8	MXC20.8	T19F6.5	LOCUS:2176937	LOCUS:2134986	21094157:0004:HT
Q9FMA5	Q9SJR5	CYP85A1	GRF3	K15E6.150	F1O11.3	LOCUS:2152292	LOCUS:2044873	21094157:0004:HT
Q9FMD9	Q9SJR5	GLN1-4	GRF3	MTG13.1	F1O11.3	LOCUS:2174175	LOCUS:2044873	21094157:0004:HT
Q9FMF5	Q9SIV2	RPT3	RPN1A	MSJ1.17	F23N11.10	LOCUS:2173418	LOCUS:2046016	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9LES2	CYCA3-1	UBA2A	MMG4.10	T8M16.190	LOCUS:2167761	LOCUS:2103670	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9LMX4	CYCA3-1	PAP1	MMG4.10	F21F23.18	LOCUS:2167761	LOCUS:2023870	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9SJJ5	CYCA3-1	CKS2	MMG4.10	T1E2.11	LOCUS:2167761	LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9SKA8	CYCA3-1	Q9SKA8	MMG4.10	F20M17.4|F20M17_4	LOCUS:2167761	LOCUS:2045278	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9SR12	CYCA3-1	DAN1	MMG4.10	F7O18.10|F7O18_10	LOCUS:2167761	LOCUS:2084873	20706207:0676:HT
Q9FMH5	Q9SSK9	CYCA3-1	MLP28	MMG4.10	F15H11.8	LOCUS:2167761	LOCUS:2014000	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9ZRZ8	CYCA3-1	RH28	MMG4.10	DL4340C|FCAALL.424	LOCUS:2167761	LOCUS:2130918	20706207:0004:HT|20706207:0676:HT
Q9FMH5	Q9ZUG4	CYCA3-1	Q9ZUG4	MMG4.10	T6P5.3	LOCUS:2167761	LOCUS:2064717	20706207:0004:HT|20706207:0676:HT
Q9FMR0	Q9SU44	PER60	GRF8	MWD9.21	T19F6.5	LOCUS:2176402	LOCUS:2134986	21094157:0004:HT
Q9FMT4	Q9LDM4	Q9FMT4	CYCB2-3	MUA22.17	F2D10.10|F5M15.6	LOCUS:2174638	LOCUS:2030482	20706207:0004:HT|20706207:0676:HT
Q9FMT4	Q9LRY0	Q9FMT4	KRP5	MUA22.17	K7P8.10	LOCUS:2174638	LOCUS:2087248	20706207:0004:HT|20706207:0676:HT
Q9FMT4	Q9LZM0	Q9FMT4	CYCD7-1	MUA22.17	T7H20.160	LOCUS:2174638	LOCUS:2185178	20706207:0004:HT|20706207:0676:HT
Q9FMT4	Q9SJJ5	Q9FMT4	CKS2	MUA22.17	T1E2.11	LOCUS:2174638	LOCUS:2057825	20706207:0004:HT|20706207:0676:HT
Q9FNI6	Q9SJR5	RAD5A	GRF3	MDJ22.17	F1O11.3	LOCUS:2162504	LOCUS:2044873	21094157:0004:HT
Q9FNI6	Q9SU44	RAD5A	GRF8	MDJ22.17	T19F6.5	LOCUS:2162504	LOCUS:2134986	21094157:0004:HT
Q9FNY0	Q9FNY2	E2FA	DPB	F11F19.8	F12E4.160		LOCUS:1005716177	20706207:0676:HT|20706207:0004:HT
Q9FNY0	Q9FNY3	E2FA	DPA	F11F19.8	T22P11.60		LOCUS:2181788	20706207:0676:HT|20706207:0004:HT
Q9FNY0	Q9LKZ3	E2FA	RBR1	F11F19.8	F28J15.11		LOCUS:2082194	20706207:0676:HT|20706207:0004:HT
Q9FNY0	Q9MAK9	E2FA	RPT4B	F11F19.8	F27F5.8		LOCUS:2028200	20706207:0004:HT|20706207:0676:HT
Q9FNY2	Q9FV71	DPB	E2FB	F12E4.160	T6G21	LOCUS:1005716177	LOCUS:3685148	20706207:0004:HT|20706207:0676:HT
Q9FNY2	Q9LID6	DPB	ABCE1	F12E4.160	MMM17.7	LOCUS:1005716177	LOCUS:2091506	20706207:0004:HT|20706207:0676:HT
Q9FNY2	Q9LKZ3	DPB	RBR1	F12E4.160	F28J15.11	LOCUS:1005716177	LOCUS:2082194	20706207:0004:HT|20706207:0676:HT
Q9FNY2	Q9SR12	DPB	DAN1	F12E4.160	F7O18.10|F7O18_10	LOCUS:1005716177	LOCUS:2084873	20706207:0676:HT
Q9FNY2	Q9ZUG4	DPB	Q9ZUG4	F12E4.160	T6P5.3	LOCUS:1005716177	LOCUS:2064717	20706207:0004:HT|20706207:0676:HT
Q9FNY3	Q9FV71	DPA	E2FB	T22P11.60	T6G21	LOCUS:2181788	LOCUS:3685148	20706207:0676:HT|20706207:0004:HT
Q9FNY3	Q9LKZ3	DPA	RBR1	T22P11.60	F28J15.11	LOCUS:2181788	LOCUS:2082194	20706207:0004:HT|20706207:0676:HT
Q9FPR3	Q9SU44	EDR1	GRF8	F22O13.20	T19F6.5	LOCUS:2025515	LOCUS:2134986	21094157:0004:HT
Q9FT72	Q9LU93	RECQL3	MAD2	F8D20.250	MPE11.15	LOCUS:2127998	LOCUS:2092125	20706207:0004:HT|20706207:0676:HT
Q9FT92	Q9SU44	Q9FT92	GRF8	F8L15_160	T19F6.5	LOCUS:2150828	LOCUS:2134986	21094157:0004:HT
Q9FUG4	Q9SU44	XPB2	GRF8	MYC6.7	T19F6.5	LOCUS:2177891	LOCUS:2134986	21094157:0004:HT
Q9FV70	Q9LKZ3	E2FC	RBR1	T2E6.2	F28J15.11	LOCUS:2202390	LOCUS:2082194	20706207:0004:HT|20706207:0676:HT
Q9FV70	Q9LSH2	E2FC	GAD5	T2E6.2	MIG5.6	LOCUS:2202390	LOCUS:2089779	20706207:0676:HT
Q9FV71	Q9FWW6	E2FB	Q9FWW6	T6G21	T28K15.10	LOCUS:3685148	LOCUS:2202038	20706207:0004:HT|20706207:0676:HT
Q9FV71	Q9LKZ3	E2FB	RBR1	T6G21	F28J15.11	LOCUS:3685148	LOCUS:2082194	20706207:0004:HT|20706207:0676:HT
Q9FV71	Q9SR12	E2FB	DAN1	T6G21	F7O18.10|F7O18_10	LOCUS:3685148	LOCUS:2084873	20706207:0676:HT
Q9FVU9	Q9SJR5	CSN5B	GRF3	F3I17.12	F1O11.3	LOCUS:2032288	LOCUS:2044873	21094157:0004:HT
Q9FWR2	Q9SU44	AVPL2	GRF8	F17F16.2	T19F6.5		LOCUS:2134986	21094157:0004:HT
Q9FWS3	Q9FWS3	CG1	CG1	F1B16.12	F1B16.12	LOCUS:2018452	LOCUS:2018452	21189294:0004:HT
Q9FX97	Q9SU44	FUT12	GRF8	F14J22.8|F14J22_18	T19F6.5	LOCUS:2012217	LOCUS:2134986	21094157:0004:HT
Q9FXA2	Q9LM91	PAB8	CYCB2-5	F14J22.3	F2D10.8|F5M15.8	LOCUS:2012161	LOCUS:2030457	20706207:0004:HT
Q9FXA2	Q9SFW6	PAB8	CYCB2-4	F14J22.3	F15M4.19|T23E18.24	LOCUS:2012161	LOCUS:2014574	20706207:0676:HT
Q9FY46	Q9SJR5	SULTR41	GRF3	MSH12.1|T6I14_80	F1O11.3	LOCUS:2185031	LOCUS:2044873	21094157:0004:HT
Q9FY64	Q9LK09	RPS15D	SYP32	T5E8_310	K7M2.13	LOCUS:2184772		24556609:0004:HT|24556609:0007:HT
Q9FY75	Q9SJR5	POT7	GRF3	T5E8_200	F1O11.3	LOCUS:2184722	LOCUS:2044873	21094157:0004:HT
Q9FYG2	Q9SJR5	CAMTA4	GRF3	F1N21.13	F1O11.3	LOCUS:2019534	LOCUS:2044873	21094157:0004:HT
Q9FZ36	Q9SJR5	ANP2	GRF3	F14C21.49|T24C10.7	F1O11.3		LOCUS:2044873	21094157:0004:HT
Q9FZ76	Q9LK09	RPL6A	SYP32	F25I16.12	K7M2.13	LOCUS:2027483		24556609:0004:HT|24556609:0007:HT
Q9LDM4	Q9LYU3	CYCB2-3	ERF113	F2D10.10|F5M15.6	T31B5.150	LOCUS:2030482	LOCUS:2183861	20706207:0004:HT|20706207:0676:HT
Q9LDM4	Q9MA75	CYCB2-3	VIP1	F2D10.10|F5M15.6	F2J6.6	LOCUS:2030482	LOCUS:2031123	20706207:0004:HT|20706207:0676:HT
Q9LE42	Q9SJR5	HAC5	GRF3	MGH6.20|MGH6_9	F1O11.3	LOCUS:2089285	LOCUS:2044873	21094157:0004:HT
Q9LES2	Q9LRY0	UBA2A	KRP5	T8M16.190	K7P8.10	LOCUS:2103670	LOCUS:2087248	20706207:0004:HT|20706207:0676:HT
Q9LF64	Q9SU44	ATL52	GRF8	K10A8_80	T19F6.5	LOCUS:2151421	LOCUS:2134986	21094157:0004:HT
Q9LF98	Q9SJR5	FBA8	GRF3	F8J2_100	F1O11.3	LOCUS:2085141	LOCUS:2044873	21094157:0004:HT
Q9LF98	Q9SU44	FBA8	GRF8	F8J2_100	T19F6.5	LOCUS:2085141	LOCUS:2134986	21094157:0004:HT
Q9LFB2	Q9SU44	LAX1	GRF8	F7J8_220	T19F6.5	LOCUS:2150089	LOCUS:2134986	21094157:0004:HT
Q9LFG8	Q9SU44	ABCG20	GRF8	F4P12.210	T19F6.5	LOCUS:2083946	LOCUS:2134986	21094157:0004:HT
Q9LFQ9	Q9LUW6	E2FD	RH9	F2G14.80	MCB17.17|MCB17.3	LOCUS:2147865	LOCUS:2087832	20706207:0004:HT
Q9LHL8	Q9SUJ1	T21B14.22	SYP43		F18C1.2	LOCUS:2088634	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
Q9LHL8	Q9SVC2	T21B14.22	SYP122		F22O6_220	LOCUS:2088634	LOCUS:2079894	24556609:0004:HT|24556609:0007:HT
Q9LHL8	Q9SWH4	T21B14.22	SYP42		T10M13.19|T2H3.1	LOCUS:2088634	LOCUS:505006427	24556609:0004:HT|24556609:0007:HT
Q9LHL8	Q9ZSD4	T21B14.22	SYP121		F26K24.11	LOCUS:2088634	LOCUS:2081476	24556609:0004:HT|24556609:0007:HT
Q9LHS5	Q9LM91	Q9LHS5	CYCB2-5	K16F4.7|K16F4_7	F2D10.8|F5M15.8	LOCUS:2152835	LOCUS:2030457	20706207:0004:HT
Q9LHS5	Q9SFW6	Q9LHS5	CYCB2-4	K16F4.7|K16F4_7	F15M4.19|T23E18.24	LOCUS:2152835	LOCUS:2014574	20706207:0676:HT
Q9LHS5	Q9SN11	Q9LHS5	CYCD3-3	K16F4.7|K16F4_7	F3A4.150	LOCUS:2152835	LOCUS:2083128	20706207:0004:HT|20706207:0676:HT
