Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
B9DFC8	Q39233	B9DFC8	SYP21		F5E19_170		LOCUS:2148960	24556609:0007:HT
B9DFC8	Q9SUJ1	B9DFC8	SYP43		F18C1.2		LOCUS:2078042	24556609:0007:HT
B9DFC8	Q9ZSD4	B9DFC8	SYP121		F26K24.11		LOCUS:2081476	24556609:0007:HT
B9DFZ7	Q9C9M7	B9DFZ7	CDKD-2		F4N21.12		LOCUS:2033349	20706207:0004:HT
B9DFZ7	Q9CAG1	B9DFZ7	Q9CAG1		F12B7.13|F12B7_13		LOCUS:2008595	20706207:0004:HT
B9DG35	Q24JJ9	B9DG35	NUP43		F6I18.250		LOCUS:2126689	21189294:0004:HT
B9DGC8	F4I241	B9DGC8	BUB3.3		F10D13.23|F23O10.3		LOCUS:2026446	20706207:0004:HT
B9DGD1	Q24JJ9	B9DGD1	NUP43		F6I18.250		LOCUS:2126689	21189294:0004:HT
B9DGD1	Q38942	B9DGD1	RAE1		F23A5.2		LOCUS:2025732	21189294:0004:HT
B9DGN3	Q38942	B9DGN3	RAE1		F23A5.2		LOCUS:2025732	21189294:0004:HT
B9DGP8	O81001	ATP5	GRF1		T20K9.5		LOCUS:2059206	21094157:0004:HT
B9DGS0	Q24JJ9	B9DGS0	NUP43		F6I18.250		LOCUS:2126689	21189294:0004:HT
B9DGS0	Q38942	B9DGS0	RAE1		F23A5.2		LOCUS:2025732	21189294:0004:HT
B9DGT7	O22224	TUBA2	NUP93A	F2J10.11	T32G6.14		LOCUS:2062693	21189294:0004:HT
B9DGT7	Q24JJ9	TUBA2	NUP43	F2J10.11	F6I18.250		LOCUS:2126689	21189294:0004:HT
B9DGT7	Q38942	TUBA2	RAE1	F2J10.11	F23A5.2		LOCUS:2025732	21189294:0004:HT
B9DGT7	Q9LK09	TUBA2	SYP32	F2J10.11	K7M2.13			24556609:0007:HT
C0LGN2	O81001	LRR-RLK	GRF1	T21E2.2	T20K9.5	LOCUS:2099352	LOCUS:2059206	21094157:0004:HT
C0Z361	Q38942	CPN60B3	RAE1	MCD7.27	F23A5.2	LOCUS:2161048	LOCUS:2025732	21189294:0004:HT
F4HQD4	Q24JJ9	HSP70-15	NUP43	F19K16.12	F6I18.250	LOCUS:2017859	LOCUS:2126689	21189294:0004:HT
F4HQD4	Q9C829	HSP70-15	NUP50A	F19K16.12	F19K6.4	LOCUS:2017859	LOCUS:2018204	21189294:0004:HT
F4HS08	Q24JJ9	F4HS08	NUP43	F2P9.28|F2P9_28	F6I18.250	LOCUS:2027844	LOCUS:2126689	21189294:0004:HT
F4HSS8	Q24JJ9	F4HSS8	NUP43	F5M15.23|F5M15_23	F6I18.250	LOCUS:2034398	LOCUS:2126689	21189294:0004:HT
F4HSU3	Q9C829	OFUT6	NUP50A	F2D10.3|F5M15.1	F19K6.4	LOCUS:2030392	LOCUS:2018204	21189294:0004:HT
F4HWC3	Q39233	F4HWC3	SYP21	F9H16.4|F9H16_4	F5E19_170	LOCUS:2037365	LOCUS:2148960	24556609:0004:HT|24556609:0007:HT
F4HWC3	Q9SUJ1	F4HWC3	SYP43	F9H16.4|F9H16_4	F18C1.2	LOCUS:2037365	LOCUS:2078042	24556609:0004:HT|24556609:0007:HT
